SWBM_id	subws_ID	SWBM_LU	SWBM_IRR	MF_Area_m2	WATERSOURC	AWCcmprcm	Initial_fill_fraction	max_infil_rate	runoff_ISEG	WL_2_CP_Yr	ILR_Flag
322	5	1	2	76839.14979	2	0.390401108	0.716084033	0.348156844	3	0	FALSE
323	1	1	2	95104.52093	2	0.438481346	0.747215367	0.269378147	3	0	FALSE
324	5	1	2	13893.17964	2	0.2	0.445825	0.616896	3	0	FALSE
325	1	1	2	256626.4624	5	0.338385566	0	0	3	0	FALSE
326	1	1	2	33611.76792	2	0.2	0.311	1.1016	29	1996	FALSE
327	1	1	2	81484.93963	2	0.319384732	0.652958577	0	29	0	FALSE
328	3	1	2	8168.663318	2	0.4	0.7229	0.333504	3	0	FALSE
329	6	1	555	99.95087423	2	0.2	0	1.1016	3	0	FALSE
330	1	1	2	44966.53283	3	0.26847883	0.587159889	0.721231938	29	0	TRUE
331	3	1	2	19542.77867	2	0.392809272	0.717829288	0	25	0	FALSE
332	1	1	2	372771.6619	2	0.4	0.6555	0.333504	25	2006	TRUE
333	1	1	2	198915.0157	2	0.379281198	0.70775984	0.295802346	25	0	FALSE
